no,카테고리명,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,화면경로,담당자,진행상태,완료일,비고
1,공통,회원가입,,,,,/pages/join.html,,진행중,,
2,공통,로그인,,,,,/pages/login.html,,,,
3,공통,alert,,,,,/pages/dialog.html,,,,
4,공통,error_404,,,,,/pages/error_404.html,,,,
5,공통,privacy_policy,,,,,/pages/privacy_policy.html,,,,
6,공통,terms,,,,,/pages/terms.html,,,,
7,메인,로그인전,,,,,/pages/main.html,,,,
8,메인,NFT,,,,,/pages/nft.html,,,,
9,메인,,NFT_상세,,,,/pages/nft_detail.html,,,,
10,메인,,NFT_머지,,,,/pages/nft_merge.html,,,,
11,메인,커뮤니티,,,,,/pages/community.html,,,,
12,메인,마이페이지,로그인 전,,,,/pages/myasset_no_login.html,,,,
13,메인,,로그인 후,WEB3,,,/pages/myasset.html,,,,
14,메인,,,C4,,,/pages/myasset_c4.html,,,,
15,메인,,마이인포,,,,/pages/myasset_myinfo.html,,,,
16,추가,REWARD,,,,,/pages/cc_p01.html,,,,
17,추가,CREATOR,,,,,/pages/cc_p02.html,,,,
18,추가,MYASSET,,,,,/pages/cc_p03.html,,,,
19,추가,PUZZLE,,,,,/pages/cc_p04.html,,,,
20,추가,MYINFO,,,,,/pages/cc_p05.html,,,,
21,추가,MAIN,,,,,/pages/cc_p06.html,,,,
22,추가,STORE,list,,,,/pages/cc_p07.html,,,,
23,추가,,detail,,,,/pages/cc_p08.html,,,,
24,추가,,done,,,,/pages/cc_p09.html,,,,
25,추가,,,,,,/pages/cc_p10.html,,,,
